,mukey,ksat_weighted_mean
0,1020315,9.0
1,1020316,9.0
2,1020317,9.0
3,1022254,388.93
4,1022256,210.5979381443299
5,1151880,310.0
6,1151881,157.9
7,1151883,22.4
8,1151884,9.6
9,1151885,232.33333333333334
10,1151887,310.0
11,1151888,310.0
12,1151889,310.0
13,1151890,93.8
14,1151891,373.0
15,1151893,24.0
16,1151894,373.0
17,1151895,373.0
18,1151896,336.5
19,1151897,118.3
20,1151898,373.0
21,1151899,373.0
22,1151900,373.0
23,1151901,373.0
24,1151902,154.875
25,1151903,34.1
26,1151904,115.84210526315789
27,1151905,310.0
28,1151909,373.0
29,1151910,9.6
30,1151911,373.0
31,1155395,9.0
32,1155396,3.0
33,1155397,9.0
34,1155398,300.0
35,1155399,78.0
36,1385460,92.0
37,1385461,9.0
38,1385462,9.0
39,1385463,9.0
40,1385464,300.0
41,1385466,300.0
42,1385468,28.0
43,1385469,28.0
44,1385470,28.0
45,1385471,28.0
46,1385472,9.0
47,1385473,9.0
48,1385474,9.0
49,1385475,300.0
50,1385476,9.0
51,1385477,9.0
52,1385478,9.0
53,1385479,9.0
54,1385480,92.0
55,1385481,3.0
56,1385482,3.0
57,1385483,3.0
58,1385484,3.0
59,1385485,9.0
60,1385486,300.0
61,1385487,28.0
62,1385488,28.0
63,1385489,28.0
64,1385490,9.0
65,1385491,9.0
66,1385492,9.0
67,1385493,9.0
68,1385494,9.0
69,1385495,9.0
70,1385496,9.0
71,1385497,300.0
72,1385498,9.0
73,1385499,9.0
74,1385500,9.0
75,1385501,9.0
76,1385502,9.0
77,1385503,9.0
78,1385504,9.0
79,1385505,300.0
80,1385506,300.0
81,1385507,300.0
82,1385508,300.0
83,1385509,300.0
84,1385510,300.0
85,1385511,300.0
86,1385512,9.0
87,1385513,9.0
88,1385514,9.0
89,1385515,9.0
90,1385516,9.0
91,1385517,9.0
92,1385518,28.0
93,1385519,300.0
94,1385520,28.0
95,1385521,28.0
96,1385523,28.0
97,1385524,28.0
98,1385525,28.0
99,1385526,28.0
100,1385527,300.0
101,1385528,28.0
102,1385529,28.0
103,1385530,300.0
104,1385531,28.0
105,1385532,28.0
106,1385533,9.0
107,1385534,9.0
108,1385535,9.0
109,1385536,9.0
110,1385537,9.0
111,1385538,9.0
112,1385539,300.0
113,1385540,300.0
114,1385541,28.0
115,1385542,300.0
116,1385543,9.0
117,1385544,9.0
118,1385545,9.0
119,1385546,9.0
120,1385547,9.0
121,1385548,9.0
122,1385549,9.0
123,1385550,300.0
124,1385551,300.0
125,1385552,9.0
126,1385553,300.0
127,1385554,300.0
128,1385555,300.0
129,1385556,300.0
130,1385557,300.0
131,1385558,9.0
132,1385559,28.0
133,1385560,28.0
134,1385561,92.0
135,1385562,92.0
136,1385563,9.0
137,1385564,92.0
138,1385565,92.0
139,1385566,9.0
140,1385567,9.0
141,1385568,9.0
142,1385569,9.0
143,1385571,9.0
144,1385572,9.0
145,1385573,9.0
146,1385574,9.0
147,1385575,3.0
148,1385576,3.0
149,1385577,3.0
150,1385578,300.0
151,1385579,9.0
152,1385580,9.0
153,1385581,9.0
154,1385582,9.0
155,1385584,92.0
156,1385585,28.0
157,1385586,28.0
158,1385587,28.0
159,1385588,9.0
160,1385589,9.0
161,1385590,9.0
162,1385591,9.0
163,1385592,9.0
164,1385593,9.0
165,1385595,92.0
166,1385598,9.0
167,1385599,9.0
168,1385600,9.0
169,1385601,9.0
170,1385602,9.0
171,1385603,300.0
172,1385604,300.0
173,1385606,300.0
174,1385608,92.0
175,1385609,300.0
176,1385610,92.0
177,1385611,92.0
178,1385612,92.0
179,1385614,92.0
180,1385615,92.0
181,1385616,300.0
182,1385618,300.0
183,1385619,300.0
184,1385620,28.0
185,1385621,92.0
186,1385622,92.0
187,1385623,300.0
188,1385624,300.0
