mukey,max_soil_depth
1020315,160
1020316,160
1020317,153
1022254,155
1022256,103
1151880,150
1151881,150
1151883,171
1151884,192
1151885,164
1151887,178
1151888,178
1151889,178
1151890,86
1151891,113
1151893,150
1151894,63
1151895,150
1151896,150
1151897,150
1151898,150
1151899,150
1151900,150
1151901,150
1151902,86
1151903,150
1151904,150
1151905,150
1151909,93
1151910,150
1151911,150
1155395,152
1155396,152
1155397,152
1155398,152
1155399,152
1385460,152
1385461,152
1385462,152
1385463,152
1385464,152
1385466,152
1385468,152
1385469,152
1385470,152
1385471,152
1385472,152
1385473,152
1385474,152
1385475,152
1385476,152
1385477,152
1385478,152
1385479,152
1385480,152
1385481,152
1385482,152
1385483,152
1385484,152
1385485,152
1385486,152
1385487,152
1385488,152
1385489,152
1385490,152
1385491,152
1385492,152
1385493,152
1385494,152
1385495,152
1385496,152
1385497,152
1385498,152
1385499,152
1385500,152
1385501,152
1385502,152
1385503,152
1385504,152
1385505,152
1385506,152
1385507,152
1385508,152
1385509,152
1385510,152
1385511,152
1385512,152
1385513,152
1385514,152
1385515,152
1385516,152
1385517,152
1385518,114
1385519,152
1385520,114
1385521,114
1385523,114
1385524,114
1385525,114
1385526,114
1385527,152
1385528,152
1385529,152
1385530,152
1385531,152
1385532,79
1385533,152
1385534,152
1385535,152
1385536,152
1385537,152
1385538,152
1385539,152
1385540,137
1385541,152
1385542,137
1385543,152
1385544,152
1385545,152
1385546,152
1385547,152
1385548,152
1385549,152
1385550,152
1385551,152
1385552,152
1385553,152
1385554,152
1385555,152
1385556,152
1385557,152
1385558,152
1385559,99
1385560,99
1385561,152
1385562,152
1385563,152
1385564,152
1385565,152
1385566,152
1385567,71
1385568,71
1385569,71
1385571,71
1385572,71
1385573,71
1385574,152
1385575,152
1385576,152
1385577,152
1385578,152
1385579,152
1385580,152
1385581,152
1385582,152
1385584,15
1385585,152
1385586,152
1385587,152
1385588,152
1385589,152
1385590,152
1385591,152
1385592,152
1385593,152
1385595,152
1385598,152
1385599,152
1385600,152
1385601,152
1385602,152
1385603,152
1385604,152
1385606,152
1385608,152
1385609,152
1385610,152
1385611,152
1385612,152
1385614,152
1385615,152
1385616,152
1385618,137
1385619,152
1385620,79
1385621,152
1385622,152
1385623,152
1385624,152
1385625,152
1385626,152
1385630,140
1385650,152
1385711,152
1385712,152
1385713,152
1385714,152
1385715,152
1385716,152
1385717,152
1385718,152
1385719,152
1385720,152
1385721,152
1385722,152
1385723,152
1385724,152
1385725,152
1385726,152
1385727,109
1385728,109
1385729,109
1385730,109
1385731,109
1385732,152
1385733,152
1385734,152
1385735,152
1385736,152
1385737,152
1385738,152
1385739,152
1385740,152
1385741,152
1385742,152
1385743,152
1385744,152
1385745,152
1385746,152
1385747,152
1385748,152
1385749,152
1385750,152
1385751,152
1385752,152
1385753,152
1385754,152
1385755,152
1385756,152
1385757,152
1385758,152
1385759,152
1385760,152
1385761,152
1385762,152
1385763,152
1385764,152
1385765,152
1385766,152
1385767,152
1385768,152
1385775,152
1385776,109
1385777,152
1385802,152
1389406,153
1389407,151
1389408,151
1389409,152
1389410,152
1389411,152
1389412,152
1389413,96
1389414,96
1389415,96
1389416,152
1389417,152
1389418,151
1389420,152
1389422,151
1389423,151
1389424,151
1389425,152
1389426,151
1389427,151
1389428,151
1389429,152
1389430,152
1389431,152
1389433,178
1389434,152
1389435,152
1389436,152
1389437,152
1389438,152
1389439,152
1389440,91
1389441,91
1389442,91
1389443,152
1389444,152
1389445,152
1389446,152
1389447,152
1389448,152
1389449,152
1389450,152
1389451,152
1389454,152
1389455,152
1389456,152
1389457,152
1389458,85
1389459,152
1389460,152
1389461,152
1389463,152
1397168,152
1397241,152
1401473,165
1401516,152
1444859,61
1444913,122
1451380,150
1451383,150
1451926,150
1451927,150
1451928,89
1451929,150
1451935,85
1451939,93
1451945,93
1451951,65
1451953,84
1451956,86
1451957,81
1469020,127
1472277,152
1472372,112
1472377,76
1474345,152
